Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C45,100uF,C_0805_2012Metric,60.96,-100.838,-135,bottom
C46,330uF,CP_Elec_10x10.5,66.801814,-133.451787,45,bottom
C47,22uF,C_0805_2012Metric,89.789,-121.285,180,bottom
C48,22uF,C_0805_2012Metric,99.06,-118.745,-90,bottom
D6,SS34,D_SMA,62.357,-117.094,-45,bottom
L8,220uH,L_Sunlord_SWRB1207S,77.4192,-121.3104,-135,bottom
R1,5.11k,R_0402_1005Metric,83.312,-130.937,180,bottom
R16,1.8k,R_0402_1005Metric,82.2452,-113.1824,-45,bottom
R17,3.9k,R_0402_1005Metric,83.6676,-114.6048,-45,bottom
R18,1k,R_0402_1005Metric,98.806,-115.951,90,bottom
U5,LM2576S,TO-263-5_TabPin3,67.873825,-112.069825,-45,bottom
U6,AMS1117-3.3,SOT-223-3_TabPin2,93.472,-116.586,180,bottom
C1,4.7uF,C_0603_1608Metric,91.44,-131.953,90,top
C2,10uF,C_0603_1608Metric,81.788,-136.525,45,top
C3,10pF,C_0402_1005Metric,92.964,-144.145,45,top
C4,100nF,C_0402_1005Metric,87.376,-148.336,-135,top
C5,100nF,C_0402_1005Metric,76.454,-146.05,45,top
C6,10pF,C_0402_1005Metric,93.599,-140.843,-45,top
C7,100nF,C_0402_1005Metric,87.63,-146.05,135,top
C8,100nF,C_0402_1005Metric,80.940589,-152.822589,135,top
C9,2.2uF,C_0402_1005Metric,77.724,-144.526,-135,top
C10,10nF,C_0402_1005Metric,83.058,-141.478,135,top
C11,1uF,C_0402_1005Metric,83.312,-140.208,135,top
C12,1uF,C_0402_1005Metric,81.956589,-138.852589,-45,top
C13,100nF,C_0402_1005Metric,91.313,-133.985,180,top
C14,10nF,C_0402_1005Metric,58.674,-132.588,45,top
C15,47nF,C_0402_1005Metric,72.221411,-145.881411,-45,top
C16,0.22 uF,C_0402_1005Metric,72.898,-145.034,-45,top
C17,47nF,C_0402_1005Metric,71.836114,-138.37354,45,top
C18,47nF,C_0402_1005Metric,67.884802,-145.916955,135,top
C19,47nF,C_0402_1005Metric,70.758484,-137.295909,45,top
C20,10nF,C_0402_1005Metric,63.5508,-138.6332,0,top
C21,1.8nF,C_0402_1005Metric,63.9852,-140.349196,180,top
C22,10nF,C_0402_1005Metric,70.578878,-135.679463,45,top
C23,47nF,C_0402_1005Metric,64.008,-143.764,45,top
C24,47nF,C_0402_1005Metric,61.837043,-139.630776,180,top
C25,47nF,C_0402_1005Metric,66.023811,-144.542189,45,top
C26,56pF,C_0402_1005Metric,69.880257,-134.941244,45,top
C27,100pF,C_0402_1005Metric,71.2775,-134.222823,-45,top
C28,47nF,C_0402_1005Metric,64.728411,-144.440589,45,top
C29,47nF,C_0402_1005Metric,63.773683,-142.484659,45,top
C30,39pF,C_0402_1005Metric,66.288154,-136.417683,-45,top
C31,10pF,C_0402_1005Metric,62.063159,-149.370051,-45,top
C32,5.1pF,C_0402_1005Metric,61.419017,-137.295909,-45,top
C33,5.1pF,C_0402_1005Metric,63.753884,-136.757094,-45,top
C34,2.2pF,C_0402_1005Metric,65.569734,-134.262421,-45,top
C35,5.1pF,C_0402_1005Metric,63.394674,-134.242622,-135,top
C36,10pF,C_0402_1005Metric,65.475657,-149.549656,-135,top
C37,6.2pF,C_0402_1005Metric,61.938034,-133.504403,-45,top
C38,220pF,C_0402_1005Metric,57.15,-134.112,-135,top
C39,220pF,C_0402_1005Metric,61.468,-127.254,135,top
C40,1uF,C_0402_1005Metric,59.944,-125.73,-45,top
C41,1nF,C_0402_1005Metric,60.706,-124.968,-45,top
C42,10nF,C_0402_1005Metric,62.23,-126.492,135,top
C43,220uF,C_1206_3216Metric,64.516,-124.46,-135,top
C44,10uF,C_0402_1005Metric,61.468,-124.206,-45,top
D1,PWR_LED,LED_0402_1005Metric,99.314,-120.142,180,top
D2,LED,LED_0402_1005Metric,99.314,-117.094,180,top
D3,LED,LED_0402_1005Metric,99.314,-119.126,180,top
