Designator,Mid X,Mid Y,Rotation,Layer
C4,211.46625,-79.35,0.0,top
C10,208.69125,-86.225,90.0,top
C18,193.99125,-90.175,-90.0,top
C7,217.44125,-89.225,180.0,top
P1,166.24125,-84.25,0.0,top
R6,221.742,-101.6,180.0,top
D1,225.044,-98.298,0.0,top
R7,221.742,-104.902,180.0,top
R4,224.536,-82.55,0.0,top
C26,185.44125,-81.925,90.0,top
C29,186.76625,-92.025,90.0,top
C32,179.36625,-88.575,0.0,top
C22,184.24125,-79.85,90.0,top
C6,206.19125,-85.3,90.0,top
C21,185.41625,-89.625,-90.0,top
L5,180.16625,-83.3,180.0,top
FB1,208.44125,-89.35,-90.0,top
R3,224.536,-83.82,0.0,top
C19,187.86625,-82.325,90.0,top
C12,206.46125,-90.15,180.0,top
J1,228.359123,-90.933123,90.0,top
C23,187.84125,-92.05,90.0,top
R5,221.742,-98.298,180.0,top
U1,214.14125,-84.4,0.0,top
L7,177.24125,-83.75,-90.0,top
C9,215.89125,-89.675,-90.0,top
C15,195.06625,-86.8,0.0,top
C24,184.26625,-89.625,-90.0,top
L2,181.29125,-87.575,-90.0,top
U3,189.74125,-87.425,180.0,top
D2,225.044,-101.6,0.0,top
L6,177.06625,-85.975,0.0,top
C25,189.99125,-92.075,90.0,top
C11,206.46125,-88.575,180.0,top
C31,190.48625,-94.125,180.0,top
C34,180.16625,-82.15,0.0,top
C36,196.24125,-91.5,-90.0,top
J2,178.816,-112.014,-90.0,top
C28,188.91625,-92.075,90.0,top
C8,209.16625,-80.975,90.0,top
X1,195.19125,-94.575,0.0,top
C17,190.11625,-82.325,90.0,top
C1,210.24125,-89.575,0.0,top
C16,195.06625,-85.575,0.0,top
D3,225.044,-104.902,0.0,top
R9,184.26625,-81.925,90.0,top
C14,216.154,-101.92,90.0,top
C5,219.26625,-81.525,-90.0,top
SWD1,187.462,-112.014,90.0,top
C33,179.29125,-86.025,0.0,top
Y1,203.71625,-84.1,-90.0,top
L3,176.24125,-87.975,90.0,top
C37,175.86625,-81.375,90.0,top
L4,179.34125,-87.3,180.0,top
R1,215.138,-77.724,-90.0,top
R2,213.868,-77.724,-90.0,top
C30,184.39125,-85.5,0.0,top
J3,152.933,-82.57,0.0,top
C3,206.19125,-83.2,90.0,top
C35,178.46625,-83.775,90.0,top
L8,175.39125,-84.225,180.0,top
C20,183.11625,-89.625,90.0,top
C2,209.71625,-93.125,0.0,top
U2,209.55,-104.8,-90.0,top
R8,188.99125,-82.325,90.0,top
C13,208.28,-98.044,0.0,top
L1,184.84125,-83.95,-90.0,top
C27,185.46625,-79.85,90.0,top
